,id,name,state,city,zip code,review count,rating,address,categories,latitude,longitude
0,gH3hkR2LkgTfW5xeRqQa2g,Stevie D's House Of Freeze,MS,McComb,39648,1.0,5.0,300 S Broadway,shavedice,31.2405962153686,-90.4529233494085
1,94NWaiEvhB0NSLmZdUHQNQ,SnowHaven Snowballs,MS,Brookhaven,39601,1.0,5.0,307 US Hwy 51,shavedice,31.5864661087972,-90.4569356271487
2,7ig9-YLYQqN5AzrINyH8Tw,Conni Cone Snowballs,MS,Hattiesburg,39402,6.0,5.0,4888 Old Hwy 11,shavedice,31.286,-89.414
3,i6vpl9mUz57ci4EHu_oQGQ,Snobiz,MS,Jackson,39211,5.0,4.0,6230 Old Canton Rd,shavedice juicebars icecream,32.386178569214,-90.1144770178604
4,isA7rUYuv5eE0k8rurC4qA,Pookies Shaved Ice,MS,Florence,39073,3.0,3.5,132 S Church St,shavedice icecream,32.15212,-90.13037
5,wXJZQYvDzU2_l5ahDQ1d-w,Nannie Mac’s Snowballs,MS,Hattiesburg,39401,4.0,5.0,3803 W 4th St,shavedice icecream,31.3357272223397,-89.345354418966
6,yZtVqpXpMzNRZTZaIXaJGw,Dukes,MS,Hazlehurst,39083,1.0,5.0,28057A Hwy 28,desserts shavedice gourmet,31.87509,-90.40551
7,Ct5FELcmlJN4DwIzfrM8kg,The Snoasis,MS,Brandon,39042,1.0,5.0,212A E Government St,shavedice,32.272693479354466,-89.98454032332256
8,kfdYHs7v5JeOwdnIfj8ZEA,Sno Biz,MS,Brandon,39047,4.0,4.0,1123 Old Fannin Rd,icecream shavedice,32.3815017755694,-90.0424723303261
9,0P0Olpi9vGAGgYuYvO-1BA,Kona Ice,MS,Flowood,39047,1.0,1.0,,shavedice,32.33121109008789,-90.1085205078125
10,ckqqrPutagSJAVgzCETObw,Bop's Frozen Custard of Brandon,MS,Brandon,39042,12.0,5.0,1390 W Government St,shavedice icecream juicebars,32.28428786823327,-90.01575752944777
11,Ic73sY5iv37Is3z7KhhbRw,Ridgeland Coffee Co.,MS,Ridgeland,39157,4.0,5.0,377 Highway 51,coffee shavedice juicebars,32.4199608,-90.1348436
12,ktKKyATW2yUVs9ua2ZpIzw,CrawBillys on the Tracks,MS,Pelahatchie,39145,17.0,4.5,109 1st St,burgers seafood cajun,32.312357,-89.79965
0,dyxBS61EojAyoFLoLSPXWQ,Asian Cafe,MS,Hattiesburg,39401,45.0,4.0,109 S 31st Ave,asianfusion,31.3236099133,-89.3355585801508
1,g2b9B2-B6cRyMhcxi4Qydg,Ice's Corner,MS,Flowood,39232,31.0,3.5,376 Ridge Way,bubbletea icecream,32.3414275,-90.06508567
2,t5pV4PpKjPcz6M664nwoSw,King Kong Milktea & Smoothie - Fusion Kitchen,MS,Ridgeland,39157,12.0,4.0,6967 Old Canton Rd,juicebars asianfusion bubbletea,32.413693403191125,-90.10648503899574
3,G817S1JLhXntOPn1Xhau3Q,Equinox Coffee,MS,Hattiesburg,39401,22.0,4.5,1901 Hardy St,coffee,31.32517,-89.31935
4,UkAUbtmGz4GO_3dvRRjf9g,O Hashi Sushi,MS,Jackson,39211,9.0,4.5,1200 Eastover Dr,sushi japanese bubbletea,32.34328,-90.15724
5,N4YQcWUesK54KCPhF3iTeQ,Sugar Magnolia Takery,MS,Flowood,39232,44.0,4.5,5417 Hwy 25,bakeries salad breakfast_brunch,32.350589,-90.031596
6,0WRuSA9rWKEZFzMHf3OSrw,Wok N Roll,MS,Clinton,39056,25.0,3.5,103 Hwy 80 E,chinese noodles bubbletea,32.3339962931012,-90.3264640632522
7,i8Ciihgkw1mAvtRgui_haQ,Pho Huong,MS,Ridgeland,39157,100.0,4.5,6547 Old Canton Rd,vietnamese noodles soup,32.4009576835231,-90.1087649166584
8,3HrGBlBIyUAEUWXSFCwkuQ,Mr Chen's - Jackson,MS,Jackson,39206,128.0,4.0,5465 Interstate 55 N Frontage Rd,chinese,32.377212,-90.149499
9,kdEQOw2-zRiRghL77dy38A,Bangkok Thai Cuisine,MS,Richland,39218,11.0,3.5,1055 Hwy 49 S,thai bubbletea,32.218031,-90.15479605026245
10,ZG4csABa9KY0EF-2WuBYzw,Pho Saigon Vietnamese Cuisine,MS,Hattiesburg,39401,41.0,4.0,2902 Hardy St,vietnamese,31.323965,-89.333094
5,aVEzn9LTlr22EEwXuPGa5A,Sno@Joe,MS,Madison,39110,1.0,4.0,238 Weisenberger Rd,coffee shavedice juicebars,32.51186,-90.08652
3,af_rMvz-h6cD7o_SUevkrg,Caffe Paradiso,MS,Vicksburg,39180,34.0,4.0,3401 Halls Ferry Rd,cafes,32.3143312639991,-90.8747456544129
9,ifMBiCXNjnYaySRoyWeBoA,Fusion Cuisine,MS,Madison,39110,58.0,4.0,1030 A Hwy 51,japanese thai,32.46134015224554,-90.11035666481855
0,cV0-CFIskzUfAZDHoi-hUw,Summer Snow,MS,Laurel,39440,1.0,5.0,3110 Audubon Dr,shavedice,31.7287,-89.13944
1,3mt8PY9Syst8ydbgBt0pbA,Kassy's Kones & Concessions,MS,Laurel,39443,1.0,5.0,Pine Tree Dr,shavedice icecream foodtrucks,31.691358,-89.136813
11,_rX79iYWJWMIxBJcZHVieg,A&M Chicken,MS,Enterprise,39330,1.0,5.0,300 E Bridge St,chicken_wings shavedice breakfast_brunch,32.1758176867241,-88.8116393987146
3,Iy16J0R0ql92PmrJAX_9_A,Sno Biz,MS,Meridian,39301,7.0,4.5,516 Highway 19 S,shavedice icecream coffee,32.3641416713538,-88.6655818612726
0,wad5xXhYbNaZMG3RPg88UQ,Thrive Juice Lounge,MS,Grenada,38901,1.0,5.0,1730 Commerce St,juicebars bubbletea acaibowls,33.7651565,-89.8088151
0,60lXZaU6Iouc9q3m96mSBQ,Tyummi Cafe,MS,Starkville,39759,8.0,4.0,329 MS-12 E,juicebars soup bubbletea,33.45305217791589,-88.82391406925557
1,BFOmNxWynoSsFLGkyBy5AQ,Coffee House On 5th,MS,Columbus,39701,28.0,5.0,111 5th St N,coffee bakeries,33.495618,-88.4284772245369
2,f02cTmabjmHhSVcHPqCL9w,Thai Siam,MS,Starkville,39759,79.0,4.5,303 Dr Martin Luther King Jr Dr E,thai,33.4662624025097,-88.8125832675832
2,Sf4NoeG-G32gFGKpgdyiYQ,Sno Biz In Saraland,AL,Saraland,36571,4.0,4.5,412 Hwy 43 S,shavedice icecream,30.8127497881651,-88.0712563544512
3,QgPN7DSKwI2IYNwYkGar3A,Jennifer's Lil Alaskan Snowball Shop,AL,Prichard,36610,6.0,5.0,1819 W Main St,shavedice,30.7406880898022,-88.0958900441722
5,u12xSwfLUDXB1VTEraJeoA,Snow Boogers,MS,Perkinston,39573,15.0,4.0,1030 King Bee Rd,desserts shavedice icecream,30.811864,-89.054242
5,e0cVf41mFkLc2EyVHynkOQ,Ellen's Snowballs & Old Fashioned Malts,LA,Covington,70435,2.0,4.5,78495 Hwy 437,tradamerican shavedice icecream,30.5763692,-90.0760242
6,vM3ugZhLH5aVLIbZ-hCDbQ,Grandkids Snowballs,MS,Perkinston,39574,1.0,5.0,29557 Hwy 603,shavedice,30.60389,-89.41273
3,DwrGqiXESe3lhlSUsU_lcg,LuLu's Sno Shack,AL,Mobile,36608,4.0,5.0,850 Blackburn Dr,shavedice shavedsnow,30.67239,-88.26266
7,W4r2cjYJlyZJcp1ki_AM0A,The Sno Shack,MS,Gulfport,39503,5.0,3.5,20010 Mennonite Rd,shavedice tradamerican,30.5151005,-89.1717606
2,D_SiFlxXp9MgD3e6N2JP2w,The Melt,MS,Picayune,39466,2.0,4.5,119 US-11 N,bubbletea icecream,30.5260622,-89.6799664
3,fPisonAMItR76nvBpisc0g,Kurabi Bubble Tea,AL,Mobile,36608,43.0,4.5,3821 Airport Blvd,bubbletea juicebars thai,30.67529,-88.14182
5,QQH1By_ScDfNQUpdAKD_3A,Quickly Asian Fusion Cafe,AL,Mobile,36609,69.0,4.5,5033 Cottage Hill Rd,bubbletea asianfusion juicebars,30.6488959,-88.1590829
6,XuZhdXADLZesMXzc4T8bcg,Benja's Thai & Sushi Restaurant,AL,Mobile,36695,87.0,4.0,1281 Hillcrest Rd,sushi thai,30.662022294762,-88.1901628377953
7,VeBnOJ2-z22HQEilCpr7KA,Sugar Rush Donut Company,AL,Mobile,36608,92.0,4.5,4701 Airport Blvd,donuts bubbletea juicebars,30.6759352,-88.1736412
8,0BV0SgV1zejlgKyxdGeOwQ,Pot Au Pho,AL,Mobile,36609,149.0,4.0,464 Azalea Rd,vietnamese,30.6627267757426,-88.1518024206161
9,qwIXsIiEuXFplhhvXrbmJQ,Smoothie King,AL,Mobile,36609,4.0,4.5,6358 Cottage Hill Rd,juicebars,30.6407534610517,-88.1921318893117
10,UXl-oMwmPpbgGhBesFUa7g,Happy Sushi,AL,Mobile,36608,42.0,4.5,3662 Airport Blvd,sushi ramen,30.67691,-88.13391
2,KN2cSL91FmrANdUXWmi8JA,OMG Snoballs,MS,Biloxi,39531,1.0,5.0,910 Popps Ferry Rd,shavedice,30.4431121787988,-88.932819776237
3,jycd0UMFFGinCyyiJC7-Gw,Sweet Dulce,MS,D'Iberville,39540,13.0,4.5,10104 Gorenflo Rd,shavedice,30.4305568312003,-88.8884567080493
5,EOWExkAUYrkBmt5isNd0pQ,Bud N Trays Sno Biz,MS,Gulfport,39503,1.0,5.0,12100 US 49,shavedice coffee juicebars,30.4601383678449,-89.1002433534846
7,KtLh2dcG6AVCdsF9WXJ82w,Caboose Cones,MS,Ocean Springs,39564,2.0,5.0,1009 Desoto Ave,shavedice icecream tradamerican,30.41425,-88.82714
10,pe-9hiBsrJaAl1oG_aizHg,Chillin The Coast,MS,Long Beach,39560,1.0,5.0,,foodtrucks tacos shavedice,30.3526,-89.14606
11,Kb7t5P1bke_bnL8SFAVUiQ,Dog House,MS,Moss Point,39563,2.0,5.0,4425 Elder St,icecream shavedice,30.4043445587158,-88.5364303588867
13,DtjCPNlP2QDGkT-byK0Fmg,Flavor-Rite,MS,Long Beach,39560,2.0,5.0,601 Klondyke Rd,shavedice icecream,30.36948,-89.1537
14,wpbhWzLzJvdCNZyNODm9nw,Salasno,MS,Gautier,39553,1.0,5.0,5508 Gautier Vancleave Rd,shavedice icecream,30.42192,-88.64877
15,DHOZX7odWZX4dM7tFYdL4A,Quickly Asian Fusion Cafe,MS,D'Iberville,39540,262.0,4.0,11516 Lamey Bridge Rd,taiwanese coffee asianfusion,30.457047,-88.891082
17,FiDlrwWcmZY6gObL2vqzKA,Kim Long 2,MS,Ocean Springs,39564,27.0,3.0,1408 H Bienville Blvd,thai,30.415789,-88.820038
2,fGlnGAsoNX2yFO1uh8uViQ,Coffee Fusion,MS,Ocean Springs,39564,99.0,4.0,2228 Bienville Blvd,coffee sandwiches breakfast_brunch,30.41551333,-88.8045795
3,GaCvjPMcijKmXwOfPVuT8w,BAMBU,MS,D'Iberville,39540,48.0,4.5,3680 Sangani Blvd,juicebars bubbletea vietnamese,30.4592839025814,-88.8951283693314
4,r8iOLTB-yq6bsbTpoF7p3w,Boba & Beanz Cafe,MS,Biloxi,39531,10.0,4.5,2600 Beach Blvd,coffee cafes juicebars,30.39195,-88.98999
6,DXdZ1ZRpKgo86EaO-_vzkQ,Tastea Fusion,MS,Gulfport,39503,13.0,4.5,14451 Dedeaux Rd,bubbletea vietnamese beerbar,30.448544,-89.083817
7,Cu4dNYVnAaByyzSsanyWdw,Fresh Vietnamese Bistro and Teahouse,MS,D'Iberville,39540,27.0,4.0,3840 Promenade Pkwy,vietnamese bubbletea asianfusion,30.457581,-88.902279
8,ayzK-6ZK_p55MWhOPPogpQ,Coffee Fusion,MS,Biloxi,39534,1.0,5.0,301 Fisher St,bubbletea,30.4122917266101,-88.9111299705696
9,KeNEBkzkorGX6pKpxZtlAQ,Le Bakery,MS,Biloxi,39530,171.0,4.5,280 Oak St,bakeries vietnamese bubbletea,30.4023,-88.86739
10,eG6lTOtl9BGUwjDC0AuNqQ,Sugar Rush,AL,Bayou La Batre,36509,19.0,5.0,13240 N Wintzell Ave,donuts coffee bakeries,30.4156652837007,-88.2451726594677
11,YTJl0RPrBBkSWJBX_0Yxdw,Henry's Cafe & Bakery,MS,Diberville,39540,37.0,3.0,10345 Auto Mall Pkwy,bakeries vietnamese cafes,30.432681,-88.900681
14,JuxRtj8fqfCaNHmxqz6JDA,Thai Lotus Restaurant,AL,Bayou La Batre,36509,3.0,3.5,13812 Shell Belt Rd,thai,30.403673,-88.249001
0,5WCuDmeVw45G4Ih8WnTvoQ,Juanie's Shaved Ice & Sweet Treats,LA,Slidell,70460,2.0,5.0,143 Northshore Blvd,shavedice foodtrucks,30.305898,-89.828238
1,3PmZxCKXzoaKYD6gDk874A,Mr Geez SnoBreeze,MS,Waveland,39576,2.0,5.0,2203 Nicholson Ave,icecream coffee shavedice,30.3057793,-89.3782994
2,3GBFIXUaEPsiVYMuqVvPYg,Pelican's Snoballs,LA,Mandeville,70448,18.0,4.0,1890 Florida St,shavedice,30.3623376376503,-90.0596645269816
4,_Qb0VikhO5WA-D6Iey0TbA,White House Coffee And Creamery,LA,Lacombe,70445,8.0,4.5,61700 La 434,coffee gelato shavedice,30.327638,-89.9302884
5,IhQweWvMkHoPiRVzDHkJpw,Honey's Snoball Shack of Abita,LA,Abita Springs,70420,1.0,5.0,71360 Hwy 59,shavedice,30.469908,-90.040388
1,uMAxlDrujVgof8GLwqAiag,Moba Tea & Treats,LA,Covington,70433,12.0,5.0,70515 LA-21,bubbletea coffee bakeries,30.45617,-90.13334
3,vcJbewGrCtwUA2i1KE03Uw,Tea Time Cafe,LA,Mandeville,70471,39.0,4.5,3845 LA-22,bubbletea coffee,30.39582,-90.09303
4,_zILfCDtWOeChb_wfeqfKQ,Bo Tea Cafe,LA,Slidell,70458,46.0,4.0,534 Gause Blvd,bubbletea vietnamese,30.2848700627589,-89.7754994407296
12,wGjD-JlJmqPuG5oTvxMKGg,VIVI Bubble Tea,LA,Metairie,70002,56.0,4.5,3000 Severn Ave,bubbletea,30.005751,-90.160028
13,CzKf2bHwnxwiqglZBHKAtA,Luv Pho Food,LA,Mandeville,70471,59.0,4.5,4628 LA-22,vietnamese,30.4005128,-90.1092028
15,Rwov3sNkS42_2z0qtuAPvQ,Pho Bistro,LA,Slidell,70461,67.0,4.0,2395 Gause Blvd E,vietnamese,30.2898946553,-89.7246486746
16,Feo9uXKA9lfC06vXs_624Q,Poke City,LA,Hammond,70403,12.0,3.5,520 Palace Dr,poke bubbletea juicebars,30.482384,-90.46181084232926
17,VOH7nv7S1f7m4g_mtIVBmg,Pho House,LA,Slidell,70458,85.0,4.5,720 Brownswitch Rd,vietnamese,30.3103869,-89.7499997
18,pFQSo_TvT8-RDTHc_-PhlQ,Sharetea,LA,Metairie,70002,99.0,4.5,3325 Severn Ave,bubbletea coffee juicebars,30.009511,-90.15823183
20,NQGCirVWCre3BQ24fodXOA,Kung Fu Tea,LA,Metairie,70002,145.0,4.5,3348 W Esplanade Ave S,coffee bubbletea juicebars,30.0137109,-90.1573606
21,zCWiLq6lekFItJDyDRwNOA,Journey East,LA,Mandeville,70471,54.0,5.0,1814 N Causeway Blvd,ramen bubbletea asianfusion,30.39360217,-90.09067467
22,gr6vxay8koUGMqGLp-PdIg,Magic Sweets,LA,Harahan,70123,12.0,4.5,1301 Hickory Ave,desserts shavedice bubbletea,29.9573079,-90.2031118
23,A2Rb3mknxdF6MvzEXz_xVA,Boba Boba,LA,Kenner,70065,33.0,3.5,3405 Williams Blvd,bubbletea,30.018861,-90.240225
24,OgCyBZICDLrOSWxgnSnMVg,Follow Tea,LA,Metairie,70002,28.0,4.5,3334 Severn Ave,bubbletea coffee,30.00986,-90.15971
25,sSpQ5gtDdAND4qAE9Vq4bw,Viet Kitchen,LA,Mandeville,70471,72.0,4.0,3415 US-190,vietnamese,30.3924724,-90.0840665
26,RwBlKaKijyhfmBSLDwdFbA,Bubbie's Snowballs,LA,Kenner,70065,23.0,4.0,391 W Esplande Ave,desserts icecream,30.0227325492504,-90.2533721923828
27,xXAWWlpXGlDfgGzy9TTJIw,Mr. Bubbles Cafe,LA,New Orleans,70112,66.0,4.0,1441 Canal St,vietnamese sandwiches cafes,29.95776,-90.07462
28,8GIIGV3WX7v-gick1OfAEA,Pho Cong Noodles & Grill,LA,Covington,70433,98.0,5.0,1200 US-190 Bus,vietnamese noodles tradamerican,30.473079,-90.084758
29,4OXWn2ytzaq4eTpJy4VvJA,Frosty's Caffe,LA,Metairie,70002,139.0,4.0,3400 Cleary Ave,vietnamese bubbletea asianfusion,30.00537,-90.17295
30,iqjmhsABCvM39inmtSUEwA,Golden Koi Asian Cuisine,LA,Covington,70433,42.0,4.0,1600 N Hwy 190,sushi chinese japanese,30.4535998444553,-90.0818618129811
32,nmNiOUOZz7_jlF0X4VNdKA,Ba Ta's Cafe,LA,Kenner,70065,5.0,4.0,2025 Williams Blvd,seafood salad chicken_wings,29.9933078891218,-90.242306260852
33,dTDBXOnGK0w96L79P92AbA,Chez Pierre,LA,Metairie,70002,22.0,4.5,3413 Veterans Memorial Blvd,bakeries vietnamese desserts,30.0042618,-90.1587521
34,mWZOPkusdImQRGwhyrymaQ,Beignets & More,LA,Chalmette,70043,83.0,4.5,8700 W Judge Perez,vietnamese tradamerican cafes,29.9512539,-89.9744492
35,XtIPfx8ixswyHIuxDwxA4w,Pho Bistreaux,LA,Harahan,70123,148.0,4.5,5359 Mounes St,vietnamese soup,29.957631,-90.18665
36,IGna30iAQJa6RMbsv-9tWg,Dong Phuong,LA,New Orleans,70129,419.0,4.5,14207 Chef Menteur Hwy,bakeries vietnamese gourmet,30.03622,-89.91517
37,sy9erwW0yTpjsTQ1eLtnUQ,The Orange Couch,LA,New Orleans,70117,223.0,4.0,2339 Royal St,coffee,29.9648237,-90.0547258
38,IWHscMR1NaaLDy6g5lpnkg,Pho NOLA,LA,Metairie,70006,246.0,4.0,3320 Transcontinental Dr,vietnamese,30.00664,-90.19585
39,isuOwjnrPrr1bRELgQM0aA,Ba Chi Canteen,LA,New Orleans,70118,285.0,4.0,7900 Maple St,vietnamese,29.943195,-90.131401
40,2ao0GD9qmbF6XjhfqDlkvg,"Chez Pierre French Bakery And Cafe On Harrison, Lakeview",LA,New Orleans,70124,35.0,4.0,141 Harrison Ave,vietnamese bakeries,30.00592167,-90.116865
41,2MHNvEPEGxvBxZLXM5ESpg,Pho Bistreaux,LA,New Orleans,70118,269.0,4.5,1200 S Carrollton Ave,vietnamese,29.9475543,-90.1297535
42,oqzdTykkEPhhq9DMpqMErg,Le Saigon,LA,Hammond,70403,52.0,4.0,1820 S Magnolia St,asianfusion vietnamese korean,30.504718092641276,-90.45881061060354
43,zWfzgYe2nT9mHYm_vl1Ukw,Mopho,LA,New Orleans,70119,776.0,4.0,514 City Park Ave,vietnamese asianfusion bubbletea,29.9835238904289,-90.1052539050579
44,FjkLXJCoM_rgP2osroSxdg,Pho Sunrise,LA,Kenner,70062,124.0,4.0,2305 Veterans Memorial Blvd,vietnamese noodles soup,30.00579,-90.23663
45,-UEeCTgxud4OGWshX4x-jw,Drip Affogato Bar,LA,New Orleans,70130,414.0,4.5,703 Carondelet St,coffee gelato beer_and_wine,29.94755,-90.07266
46,Hh-lUvqYOnf7E6-fqAKzNA,Rolls N Bowls,LA,Metairie,70005,175.0,4.0,605 Metairie Rd,vietnamese,29.9869316,-90.1297793
47,03sqfUjXdEtZCUxVFxXntQ,Fusion Cafe,LA,Metairie,70006,97.0,4.5,5000 1/2 W Esplanade Ave,vietnamese japanese sushi,30.016687,-90.198954
48,jIfRcC9Vd_bz66nVsoEMzA,Pho Orchid,LA,Metairie,70006,355.0,4.0,3117 Houma Blvd,vietnamese,30.00297,-90.1792
49,qq6vsh6ZEshfv4mTdrjA0g,Magasin Kitchen,LA,New Orleans,70130,145.0,4.0,611 Okeefe Ave,vietnamese,29.9483139795614,-90.0752910748688
0,CKvcCZ14SeDs0GgJClFk5A,Little Chinatown,LA,Kenner,70065,296.0,4.0,3800 Williams Blvd,chinese,30.02533,-90.23838
1,mbzW1gqMXxy5hDkB3h2tmg,Chez Pierre French Bakery & Cafe,LA,Metairie,70006,127.0,3.5,3208 Clearview Pkwy,bakeries vietnamese,30.0042438284104,-90.1857832650919
2,J2Jcksoo1wQ5gC06fEwE3g,highway fried chicken & seafood,LA,Jefferson,70121,56.0,4.5,4150 Jefferson Hwy,tradamerican seafood chicken_wings,29.9603915,-90.17004367
3,82bYVTfEpApVNMcmz4pMeA,Fuji Sushi,LA,Metairie,70003,158.0,4.0,8814 Veterans Memorial Blvd,sushi,30.0051091519975,-90.2239215373993
4,KpnBKih7jB23obxjdocCRg,Pho Orchid Express,LA,Metairie,70001,77.0,4.0,1401 Airline Dr,vietnamese,29.9735932900365,-90.1411457082994
5,YwuFAksLS4mU7Clifh3YRA,Pho Bang,LA,Metairie,70005,59.0,4.0,1901 Veterans Memorial Blvd,vietnamese,30.0025270897355,-90.1442389696214
6,eA9p9OXvrdQI1J1jxVsRlQ,Pho Michael,LA,Metairie,70002,297.0,4.5,3559 18th St,vietnamese bubbletea soup,30.0088012891477,-90.1617417474353
7,rlWSIBm8rpEKZzpG9X9Jsw,French Press Coffee House,LA,Metairie,70003,59.0,3.0,2120 David Dr,coffee breakfast_brunch sandwiches,29.9957301672357,-90.2177561575749
8,HWLgmRSRDdUwXFkUxf4N-w,Jazmine Cafe,LA,New Orleans,70118,158.0,3.5,614 S Carrollton Ave,vietnamese,29.9436931610107,-90.1341247558594
9,e7fAEuZ58SEOWB0Rw_4w2w,French Press Coffee House,LA,Metairie,70002,85.0,3.0,3238 Severn Ave,coffee,30.008651363433,-90.15940852518
10,745k3sqcSEQeCNPj799u9w,Ba Mien Restaurant,LA,New Orleans,70129,48.0,3.5,13235 Chef Menteur Hwy,vietnamese,30.03051,-89.93002
11,aOHNMIs-N591irOmxQfbFg,French Press Coffeehouse,LA,Kenner,70065,108.0,3.5,3236 Williams Blvd,coffee,30.01569,-90.23935
7,RNcMVrTaO5bfI_INqCP3pg,Snow King,LA,Amite City,70422,1.0,3.0,401 NW Central Ave,shavedice shavedsnow,30.7311013409499,-90.5093048885465
4,BDrjbB0YwNmm-FrPx3qglA,Sno-Shack SnoBalls,AL,Fairhope,36532,2.0,4.5,17022 State Highway 181,shavedice,30.47276,-87.852053
10,QZbieK6dHC24kYrC-ct19w,ice ice baby Fairhope,AL,Fairhope,36532,2.0,3.0,369 S Mobile St,shavedsnow shavedice desserts,30.51766,-87.91467
4,Q6RKT8DyV6wQgIjWtSPsnA,Poke Bowl Sushi Burritos and Boba,AL,Daphne,36526,15.0,4.5,28600 US-98,bubbletea sushi hawaiian,30.641846,-87.911508
6,trBKD2rfMWWt1e5XH0tiCw,Honeybun Donuts and Kolaches,AL,Spanish Fort,36527,13.0,4.0,6729 Spanish Fort Blvd,breakfast_brunch bubbletea donuts,30.67045,-87.90688
11,RnlMTzPtsnilO82glTvi5A,Tropical Treats,MS,Long Beach,39560,1.0,3.0,311 Beach Blvd E,shavedice,30.3466741,-89.1426708
13,Af7pP_R-8_y5ajL8dQQnAw,Island Rainbow Pizza,AL,Dauphin Island,36528,79.0,3.5,1614 Bienville Blvd,pizza,30.2505722045898,-88.1304626464844
19,NKKwNvb6S_TP7pI4Ilm1UA,Frost Bites Gulf Shores,AL,Gulf Shores,36542,2.0,4.0,925 Beach Club Trl,shavedice icecream foodtrucks,30.237014773707436,-87.87712096808828
14,AZ8wJZGGFwdg2PGeg1a0MA,Cold Rush Snowballs,LA,Covington,70433,2.0,4.5,70321 Hway 1077,shavedice,30.475747,-90.187085
17,J_ytuPBL2sg6StVNkH565A,Snowbiz Snowballs,LA,Covington,70433,4.0,4.0,1248 N Collins Blvd,shavedice,30.4899085,-90.094765
